template_id,name,version,phase,is_active,description
opening_v1,Открытие v1,1,open,FALSE,Стартовые шаги ККМ (утро) - устаревший
closing_v1,Закрытие v1,1,close,FALSE,Закрытие смены 19:00 - устаревший
opening_v2,Открытие смены v2 (роль A),2,open,FALSE,"Полный набор шагов для открывающего (A): 9:00–18:00"
continue_v1,Продолжить смену (роль B дневные),1,continue,FALSE,"Дневные шаги для B: 11:00–20:00"
closing_v2,Закрытие смены v2 (роль B финал),2,close,FALSE,Финальные шаги закрытия для B: ~20:00
opening_v3,Дневные шаги v3 (роль A),3,open,TRUE,"Новый дневной чек-лист A с X-отчётом и общими шагами"
continue_v2,Дневные шаги v2 (роль B),2,continue,TRUE,"Новый дневной чек-лист B без стартовых шагов"
closing_v3,Закрытие смены v3 (роль B),3,close,TRUE,"Минимальный финал: начало закрытия и фото Z"
